Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Dominican Republic,2021,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,6517.724679816
Dominican Republic,2021,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,961.447631445
Dominican Republic,2021,Haiti,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,954.690620858
Dominican Republic,2021,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,667.114093801
Dominican Republic,2021,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,415.584820267
Dominican Republic,2021,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,12488.837123522
Dominican Republic,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3873.57299343
Dominican Republic,2021,Mexico,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,946.715090443
Dominican Republic,2021,Brazil,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,875.15600663
Dominican Republic,2021,Spain,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,744.342852649
Dominican Republic,2021,World,Hides and Skins,Export,Export(US$ Mil),25.894311629
Dominican Republic,2021,World,Miscellaneous,Export,Export(US$ Mil),1350.13873695
Dominican Republic,2021,World,Vegetable,Export,Export(US$ Mil),626.803868435
Dominican Republic,2021,World,Textiles and Clothing,Export,Export(US$ Mil),894.535563485
Dominican Republic,2021,World,Intermediate goods,Export,Export(US$ Mil),3431.022776914
Dominican Republic,2021,World,Fuels,Export,Export(US$ Mil),89.472869613
Dominican Republic,2021,World,Metals,Export,Export(US$ Mil),901.760098734
Dominican Republic,2021,World,Minerals,Export,Export(US$ Mil),142.055430892
Dominican Republic,2021,World,Stone and Glass,Export,Export(US$ Mil),2507.957699338
Dominican Republic,2021,World,Capital goods,Export,Export(US$ Mil),2439.77392306
Dominican Republic,2021,World,Food Products,Export,Export(US$ Mil),2060.589848458
Dominican Republic,2021,World,Footwear,Export,Export(US$ Mil),216.826297751
Dominican Republic,2021,World,Consumer goods,Export,Export(US$ Mil),4638.06590474
Dominican Republic,2021,World,Plastic or Rubber,Export,Export(US$ Mil),769.685624065
Dominican Republic,2021,World,Transportation,Export,Export(US$ Mil),25.44577969
Dominican Republic,2021,World,Chemicals,Export,Export(US$ Mil),534.121740779
Dominican Republic,2021,World,Mach and Elec,Export,Export(US$ Mil),1317.476990892
Dominican Republic,2021,World,Animal,Export,Export(US$ Mil),20.193135552
Dominican Republic,2021,World,Wood,Export,Export(US$ Mil),160.262007932
Dominican Republic,2021,World,Raw materials,Export,Export(US$ Mil),1134.347553617
Dominican Republic,2021,World,Consumer goods,Import,Import(US$ Mil),12249.836453111
Dominican Republic,2021,World,Intermediate goods,Import,Import(US$ Mil),8045.29150867299
Dominican Republic,2021,World,Capital goods,Import,Import(US$ Mil),4286.439178933
Dominican Republic,2021,World,Raw materials,Import,Import(US$ Mil),2985.564022327
Dominican Republic,2021,World,All Products,Export,Exports (in US$ Mil),11643.22000419
Dominican Republic,2021,World,All Products,Import,Imports (in US$ Mil),24186.670739513
Dominican Republic,2021,World,All Products,Tariff,Duty Free Imports (US$ Thousand),16385480.8282186
Dominican Republic,2021,...,...,Tariff,No. Of Tariff Agreement,7
Dominican Republic,2021,...,...,Import,No. Of Import partners,189
Dominican Republic,2021,...,...,Import,No. Of Import products,3888
Dominican Republic,2021,...,...,Export,No. Of Export partners,138
Dominican Republic,2021,...,...,Export,No. Of Export products,2845
Dominican Republic,2019,...,...,Others,Trading Across Borders Rank,66
Dominican Republic,2018,...,...,Others,Population,10627165
Dominican Republic,2016,...,...,Others,LPI Score,2.62728
Dominican Republic,2016,...,...,Others,LPI Rank,91
Dominican Republic,2019,...,...,Others,Ease of Doing Business Rank,115
Dominican Republic,2013,...,...,Others,No Of NTM Affected Products (HS 6 Digit),3
Dominican Republic,2013,...,...,Others,No Of NTM Measures,2
Dominican Republic,,...,...,Others,Services Trade Restrictions Index - Over All,12.3
Dominican Republic,2021,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,55.9787
Dominican Republic,2021,Switzerland,All Products,Export,Partner share(%)-Top 5 Export Partner,8.2576
Dominican Republic,2021,Haiti,All Products,Export,Partner share(%)-Top 5 Export Partner,8.1995
Dominican Republic,2021,India,All Products,Export,Partner share(%)-Top 5 Export Partner,5.7296
Dominican Republic,2021,Netherlands,All Products,Export,Partner share(%)-Top 5 Export Partner,3.5693
Dominican Republic,2021,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,51.6352
Dominican Republic,2021,China,All Products,Import,Partner share(%)-Top 5 Import Partner,16.0153
Dominican Republic,2021,Mexico,All Products,Import,Partner share(%)-Top 5 Import Partner,3.9142
Dominican Republic,2021,Brazil,All Products,Import,Partner share(%)-Top 5 Import Partner,3.6183
Dominican Republic,2021,Spain,All Products,Import,Partner share(%)-Top 5 Import Partner,3.0775
Dominican Republic,2021,World,Vegetable,Export,Export Product share(%),5.3834
Dominican Republic,2021,World,Textiles and Clothing,Export,Export Product share(%),7.6829
Dominican Republic,2021,World,Intermediate goods,Export,Export Product share(%),29.468
Dominican Republic,2021,World,Food Products,Export,Export Product share(%),17.6978
Dominican Republic,2021,World,Footwear,Export,Export Product share(%),1.8623
Dominican Republic,2021,World,Consumer goods,Export,Export Product share(%),39.8349
Dominican Republic,2021,World,Minerals,Export,Export Product share(%),1.2201
Dominican Republic,2021,World,Stone and Glass,Export,Export Product share(%),21.5401
Dominican Republic,2021,World,Capital goods,Export,Export Product share(%),20.9545
Dominican Republic,2021,World,Fuels,Export,Export Product share(%),0.7685
Dominican Republic,2021,World,Metals,Export,Export Product share(%),7.7449
Dominican Republic,2021,World,Animal,Export,Export Product share(%),0.1734
Dominican Republic,2021,World,Wood,Export,Export Product share(%),1.3764
Dominican Republic,2021,World,Raw materials,Export,Export Product share(%),9.7426
Dominican Republic,2021,World,Plastic or Rubber,Export,Export Product share(%),6.6106
Dominican Republic,2021,World,Transportation,Export,Export Product share(%),0.2185
Dominican Republic,2021,World,Hides and Skins,Export,Export Product share(%),0.2224
Dominican Republic,2021,World,Miscellaneous,Export,Export Product share(%),11.5959
Dominican Republic,2021,World,Chemicals,Export,Export Product share(%),4.5874
Dominican Republic,2021,World,Mach and Elec,Export,Export Product share(%),11.3154
Dominican Republic,2021,World,Consumer goods,Import,Import Product share(%),50.6471
Dominican Republic,2021,World,Intermediate goods,Import,Import Product share(%),33.2633
Dominican Republic,2021,World,Capital goods,Import,Import Product share(%),17.7223
