Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Israel,2021,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,16322.52
Israel,2021,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,5042.388
Israel,2021,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4398.394
Israel,2021,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2735.097
Israel,2021,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2233.835
Israel,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,10728.046
Israel,2021,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,9014.519
Israel,2021,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,8638.151
Israel,2021,Switzerland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,6618.128
Israel,2021,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,6560.507
Israel,2021,World,Minerals,Export,Export(US$ Mil),129.149
Israel,2021,World,Stone and Glass,Export,Export(US$ Mil),9832.766
Israel,2021,World,Capital goods,Export,Export(US$ Mil),22510.336
Israel,2021,World,Fuels,Export,Export(US$ Mil),2252.676
Israel,2021,World,Metals,Export,Export(US$ Mil),2459.229
Israel,2021,World,Vegetable,Export,Export(US$ Mil),1513.83
Israel,2021,World,Textiles and Clothing,Export,Export(US$ Mil),1039.709
Israel,2021,World,Intermediate goods,Export,Export(US$ Mil),17719.93
Israel,2021,World,Plastic or Rubber,Export,Export(US$ Mil),3493.469
Israel,2021,World,Transportation,Export,Export(US$ Mil),2558.991
Israel,2021,World,Food Products,Export,Export(US$ Mil),899.436
Israel,2021,World,Footwear,Export,Export(US$ Mil),52.586
Israel,2021,World,Consumer goods,Export,Export(US$ Mil),10226.317
Israel,2021,World,Chemicals,Export,Export(US$ Mil),10599.071
Israel,2021,World,Mach and Elec,Export,Export(US$ Mil),15206.635
Israel,2021,World,Hides and Skins,Export,Export(US$ Mil),33.372
Israel,2021,World,Miscellaneous,Export,Export(US$ Mil),9644.408
Israel,2021,World,Animal,Export,Export(US$ Mil),46.893
Israel,2021,World,Wood,Export,Export(US$ Mil),397.514
Israel,2021,World,Raw materials,Export,Export(US$ Mil),3953.901
Israel,2021,World,Raw materials,Import,Import(US$ Mil),14162.571
Israel,2021,World,Intermediate goods,Import,Import(US$ Mil),20352.348
Israel,2021,World,Consumer goods,Import,Import(US$ Mil),30152.418
Israel,2021,World,Capital goods,Import,Import(US$ Mil),25818.798
Israel,2021,World,All Products,Export,Exports (in US$ Mil),60159.734
Israel,2021,World,All Products,Import,Imports (in US$ Mil),92158.602
